periode_data,kota_kabupaten,kecamatan,jumlah_penduduk,kepadatan_penduduk,nama_fasilitas,jenis_fasilitas,latitude,longtitude,,,,,,
2023,JAKARTA BARAT,TAMBORA,"270,036","49,788",Gelanggang Remaja Kecamatan Tambora,Gelanggang ,"-61,713,127,667,626","10,681,926,688,466",,,,,,
2023,JAKARTA BARAT,TAMBORA,"270,036","49,788",Lapangan Sepakbola Persima,Sepak Bola,-6155759,106799282,,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Lapangan sepakbola Kebon Jeruk,Sepak Bola,-6197675,106766615,,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Lapangan Sepakbola Kedoya,Sepak Bola,-6183985,106761023,,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Gelanggang Remaja Kecamatan Kebon Jeruk,Gelanggang ,"-61,991,906,016,931","10,676,436,073,558",,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Gelanggang Remaja Kecamatan Kebon Jeruk,Gelanggang ,"-61,991,906,016,931","10,676,436,073,558",,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Lapangan sepakbola Kebon Jeruk,Sepak Bola,-6197675,106766615,,,,,,
2023,JAKARTA BARAT,KEBON JERUK,"368,839","21,234",Lapangan Sepakbola Kedoya,Sepak Bola,-6183985,106761023,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Pegadungan,Sepak Bola,-6139465,106703159,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Semanan,Sepak Bola,-6159757,106705898,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Srengseng,Gelanggang ,-6203609,106758527,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Gelanggang Remaja Kecamatan Kalideres,Gelanggang ,"-61,767,534,077,929","10,678,118,428,662",,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Gelanggang Remaja Kecamatan Kalideres,Sepak Bola,"-61,767,534,077,929","10,678,118,428,662",,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Pegadungan,Sepak Bola,-6139465,106703159,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Semanan,Sepak Bola,-6159757,106705898,,,,,,
2023,JAKARTA BARAT,KALIDERES,"464,568","16,135",Lapangan Sepakbola Srengseng,Sepak Bola,-6203609,106758527,,,,,,
2023,JAKARTA BARAT,PALMERAH,"235,100","31,581",Lapangan Ingub Wijaya Kusuma,Sepak Bola,-6192028,10679503,,,,,,
2023,JAKARTA BARAT,PALMERAH,"235,100","31,581",Gelanggang Remaja Kecamatan Palmerah,Gelanggang ,"-6,199,176,984,576","10,679,105,873,098",,,,,,
2023,JAKARTA BARAT,PALMERAH,"235,100","31,581",Gelanggang Remaja Kecamatan Palmerah,Gelanggang ,"-6,199,176,984,576","10,679,105,873,098",,,,,,
2023,JAKARTA BARAT,PALMERAH,"235,100","31,581",Lapangan Ingub Wijaya Kusuma,Sepak Bola,-6192028,10679503,,,,,,
